height_mm,volume_litres
97.800,28.370142
97.900,28.412192
98.000,28.454252
98.100,28.496320
98.200,28.538398
98.300,28.580484
98.400,28.622579
98.500,28.664684
98.600,28.706797
98.700,28.748919
98.800,28.791050
98.900,28.833189
99.000,28.875337
99.100,28.917494
99.200,28.959660
99.300,29.001834
99.400,29.044017
99.500,29.086209
99.600,29.128409
99.700,29.170617
99.800,29.212834
99.900,29.255059
100.000,29.297293
100.100,29.339535
100.200,29.381785
100.300,29.424044
100.400,29.466311
100.500,29.508586
100.600,29.550869
100.700,29.593161
100.800,29.635461
100.900,29.677768
101.000,29.720084
101.100,29.762408
101.200,29.804740
101.300,29.847079
101.400,29.889427
101.500,29.931782
101.600,29.974146
101.700,30.016517
101.800,30.058896
101.900,30.101283
102.000,30.143677
102.100,30.186079
102.200,30.228489
102.300,30.270906
102.400,30.313331
102.500,30.355764
102.600,30.398204
102.700,30.440652
102.800,30.483107
102.900,30.525569
103.000,30.568039
103.100,30.610516
103.200,30.653000
103.300,30.695492
103.400,30.737991
103.500,30.780498
103.600,30.823011
103.700,30.865532
103.800,30.908060
103.900,30.950594
104.000,30.993136
104.100,31.035685
104.200,31.078241
104.300,31.120804
104.400,31.163374
104.500,31.205951
104.600,31.248534
104.700,31.291125
104.800,31.333722
104.900,31.376326
105.000,31.418937
105.100,31.461555
105.200,31.504179
105.300,31.546810
105.400,31.589447
105.500,31.632091
105.600,31.674742
105.700,31.717399
105.800,31.760062
105.900,31.802732
106.000,31.845409
106.100,31.888092
106.200,31.930781
106.300,31.973476
106.400,32.016178
106.500,32.058886
106.600,32.101600
106.700,32.144321
106.800,32.187048
106.900,32.229780
107.000,32.272519
107.100,32.315264
107.200,32.358015
107.300,32.400772
107.400,32.443535
107.500,32.486304
107.600,32.529079
107.700,32.571860
107.800,32.614647
107.900,32.657439
108.000,32.700237
108.100,32.743041
108.200,32.785851
108.300,32.828666
108.400,32.871487
108.500,32.914314
108.600,32.957146
108.700,32.999984
108.800,33.042828
108.900,33.085676
109.000,33.128531
109.100,33.171391
109.200,33.214256
109.300,33.257127
109.400,33.300003
109.500,33.342884
109.600,33.385770
109.700,33.428662
109.800,33.471559
109.900,33.514462
110.000,33.557369
110.100,33.600282
110.200,33.643199
110.300,33.686122
110.400,33.729050
110.500,33.771983
110.600,33.814921
110.700,33.857863
110.800,33.900811
110.900,33.943764
111.000,33.986721
111.100,34.029683
